Metacritic Score [binned],Everyone6,Everyone10,Teen,Mature,Adults Only
10-14,0,0,0,0.04,0
15-19,0.4,0.16,0,0.16,0
20-24,2.17,0,0.5,0,0
25-29,5.98,1.67,1.42,0.61,0
30-34,7.11,0.78,2.7,3.23,0
35-39,10.43,3.58,8.14,4.82,0
40-44,16.9,7.84,15.53,4.55,0
45-49,36.4,18.67,17.98,11,0
50-54,47.64,14.54,28.9,18.2,0
55-59,108.07,28.72,61.79,21.61,0
60-64,136.01,46.13,89.91,31.16,0
65-69,168.15,55.17,110.22,39.61,0
70-74,190.5,123.29,184.53,131.58,0
75-79,337.07,110.4,198.57,140.4,0
80-84,458.83,92.62,256.52,292.1,0
85-89,364.06,63.35,198.49,318.25,0
90-94,180.58,11.91,215.73,224.97,1.95
95-99,64.32,4.54,40.29,197.43,0
